datekey,vix_close,tnx_close,oil_close,usd_close,oil_change,usd_change,vix_change,tnx_change
19900101,NaN,NaN,NaN,93.20999908447266,NaN,NaN,NaN,NaN
19900102,17.239999771118164,7.940000057220459,NaN,94.29000091552734,NaN,0.011586759378421574,NaN,NaN
19900103,18.190000534057617,7.989999771118164,NaN,94.41999816894531,NaN,0.0013786960669819326,0.05510445333827496,0.0062971931407276305
19900104,19.219999313354492,7.980000019073486,NaN,92.5199966430664,NaN,-0.020122871878044735,0.056624450195500664,-0.0012515334582141602
19900105,20.110000610351562,7.989999771118164,NaN,92.8499984741211,NaN,0.0035668162886755006,0.046306000457485785,0.0012531017569896719
19900108,20.260000228881836,8.020000457763672,NaN,92.05000305175781,NaN,-0.008615998228435617,0.00745895643847283,0.0037547794123791167
19900109,22.200000762939453,8.020000457763672,NaN,92.3499984741211,NaN,0.003259048478190696,0.0957552079042936,0
19900110,22.440000534057617,8.029999732971191,NaN,92.38999938964844,NaN,0.00043314473403643916,0.010810800129287257,0.0012467923487260446
19900111,20.049999237060547,8.039999961853027,NaN,92.4000015258789,NaN,0.00010825994476193479,-0.10650629412284196,0.0012453585572083092
19900112,24.639999389648438,8.100000381469727,NaN,92.43000030517578,NaN,0.00032466210824111386,0.22892769711949446,0.007462738793704071
19900115,26.34000015258789,8.100000381469727,NaN,92.83999633789062,NaN,0.0044357463092195015,0.06899353916598083,0
19900116,24.18000030517578,8.199999809265137,NaN,92.94000244140625,NaN,0.0010771877149979847,-0.08200454954059255,0.012345607788387003
19900117,24.15999984741211,8.1899995803833,NaN,92.72000122070312,NaN,-0.0023671316432536393,-0.0008271487804485389,-0.0012195401359078595
19900118,24.34000015258789,8.319999694824219,NaN,93.73999786376953,NaN,0.011000826462873814,0.007450343804330073,0.015873030659524723
19900119,22.5,8.260000228881836,NaN,93.69000244140625,NaN,-0.0005333414071113651,-0.0755957329931346,-0.007211474536436335
19900122,26.700000762939453,8.270000457763672,NaN,94.31999969482422,NaN,0.006724274063414359,0.18666670057508683,0.001210681429144378
19900123,24.719999313354492,8.260000228881836,NaN,93.19000244140625,NaN,-0.011980462861260754,-0.0741573555433479,-0.001209217452031508
19900124,25.389999389648438,8.380000114440918,NaN,93.02999877929688,NaN,-0.0017169616688225142,0.02710356370972833,0.01452783077892561
19900125,25.6299991607666,8.420000076293945,NaN,92.6500015258789,NaN,-0.004084674388951326,0.009452531582809343,0.004773265072407051
19900126,26.280000686645508,8.489999771118164,NaN,92.5199966430664,NaN,-0.001403182737953701,0.02536096555453282,0.008313502872915546
19900129,26.440000534057617,8.5,NaN,92.0999984741211,NaN,-0.004539539388070057,0.006088274095571666,0.001177883292277082
19900130,27.25,8.510000228881836,NaN,92.91000366210938,NaN,0.008794844749274056,0.030635380090065167,0.0011764975155101887
19900131,25.360000610351562,8.430000305175781,NaN,92.41000366210938,NaN,-0.0053815518274907825,-0.06935777576691515,-0.009400695834830386
