name
AAPL
ADBE
ADI
ADP
ADSK
AEP
AGYS
AIRT
AMAT
AMD
AMGN
AMWD
APA
APOG
AROW
ASTE
ASYS
ATRO
AVNW
AVT
AXGN
BCPC
BKR
BOOM
BPOP
CAR
CASY
CBRL
CBSH
CDNS
CDZI
CECO
CGNX
CHCO
CINF
CLDX
CLFD
CMCSA
CMTL
COHU
COKE
COO
COST
CPB
CRMT
CRUS
CSWC
CSX
CTAS
CTBI
CVBF
DAIO
DGII
DIOD
DJCO
DLHC
DRS
DSGR
DXLG
DXR
EA
EDUC
EML
ESCA
EVRG
EXC
FAST
FBNC
FCNCA
FELE
FFBC
FITB
FRME
FRPH
FSTR
FULT
GEN
GIII
GNTX
GROW
GSBC
GT
HAS
HBAN
HELE
HIFS
HON
HRTX
HST
HTLD
HWKN
IBCP
IDCC
IEP
INDB
INTC
INTG
IPAR
ITIC
JBHT
JJSF
JKHY
JOUT
KELYA
KELYB
KLAC
KLIC
KMB
LEE
LNT
LNW
LRCX
LSCC
MAT
MGPI
MGRC
MIDD
MITK
MLAB
MLKN
MNST
MRTN
MSEX
MSFT
MU
NBN
NDSN
NEOG
NSSC
NTRS
NWL
ODP
ONB
OSUR
OTTR
PATK
PAYX
PCAR
PCH
PEP
PLAB
PLXS
PNRG
POWL
PPC
PPIH
PTC
RGEN
RGLD
ROST
SEIC
SFNC
SIGI
SKYW
SLM
SMTC
SRCE
SWKS
TECH
TER
TILE
TRMK
TROW
TXN
UBSI
UG
UMBF
VSEC
VTRS
WAFD
WASH
WDC
WDFC
WEN
WERN
WSBC
WSFS
XEL
XRAY
XRX
ZION
